CDSCODE,C,D,S,SARCYear,PERGF,PERGM,PERGX,PERAI,PERAS,PERAA,PERFI,PERHI,PERPI,PERMULTI,PERWH,PEREL,PERFY,PERH,PERMIG,PERSD,PERDI
01100170138867,01,10017,0138867,2022-23,50.7,49.3,,,6.0,6.0,4.0,70.7,3.3,8.0,1.3,33.3,,2.0,,48.7,8.0
01611276095376,01,61127,6095376,2022-23,52.9,47.1,,,24.3,5.8,1.2,15.7,.6,12.0,27.1,13.5,.6,.6,,28.0,8.6
01611436090211,01,61143,6090211,2022-23,48.5,51.5,,.7,10.4,12.6,.7,16.3,,14.8,44.4,8.9,,1.5,,27.4,8.5
01611500130047,01,61150,0130047,2022-23,50.0,50.0,,,12.5,4.2,8.3,25.0,,16.7,29.2,8.3,4.2,,,33.3,100.0
01611506090385,01,61150,6090385,2022-23,45.1,54.6,.3,.3,35.8,3.7,4.7,17.5,.3,11.8,23.3,8.0,,.9,,32.9,10.8
01611760138693,01,61176,0138693,2022-23,45.6,54.4,,.4,43.8,3.9,6.0,25.2,.7,4.4,15.4,13.9,,1.0,.3,29.0,12.7
01611766000566,01,61176,6000566,2022-23,48.0,52.0,,.5,29.2,2.1,3.9,44.1,1.8,5.7,11.7,44.6,,1.3,.5,63.7,16.2
01611766000715,01,61176,6000715,2022-23,45.5,54.5,,.5,66.8,3.1,4.7,13.3,.2,2.1,8.8,32.7,,.3,,26.6,6.9
01611766000749,01,61176,6000749,2022-23,46.9,53.1,,.2,80.3,1.5,2.1,5.9,.2,2.7,4.4,13.4,,,.4,14.9,11.3
01611766106983,01,61176,6106983,2022-23,48.6,51.4,,.2,81.8,.4,1.5,4.3,.4,5.2,4.6,10.2,,,,11.7,8.9
01611920108670,01,61192,0108670,2022-23,47.3,52.6,.2,.2,9.8,2.4,11.0,68.0,3.4,1.7,2.9,12.4,,,,51.7,8.2
01611920111815,01,61192,0111815,2022-23,48.6,51.4,,.2,25.4,8.4,3.7,36.8,2.4,12.4,10.1,18.7,.2,1.2,.3,58.3,9.1
01611926000905,01,61192,6000905,2022-23,50.5,49.5,,.1,5.0,8.4,4.5,72.4,1.6,4.9,2.8,35.6,.5,1.1,2.6,79.8,8.6
01611926001127,01,61192,6001127,2022-23,50.1,49.9,,.3,11.3,3.4,9.8,63.6,5.3,3.7,2.6,39.1,,1.6,4.0,78.1,14.0
01612000130393,01,61200,0130393,2022-23,62.5,37.5,,.8,7.0,.8,3.1,39.8,,10.9,37.5,5.5,.8,6.3,,40.6,19.5
